Timestamp (s), Slip Angle (deg)
0.000000, -20.261371
0.033333, -17.497753
0.066667, -11.540419
0.100000, -11.652634
0.133333, 5.661920
0.166667, -5.227252
0.200000, -2.790354
0.233333, -13.894014
0.266667, -17.252957
0.300000, -19.871575
0.333333, -16.284312
0.366667, 1.757699
0.400000, -6.913021
0.433333, -3.337723
0.466667, -12.361127
0.500000, -8.300410
0.533333, -13.185005
0.566667, -4.848642
0.600000, -3.212943
0.633333, -6.608141
0.666667, -13.997881
0.700000, -5.733260
0.733333, -0.343132
0.766667, -8.939957
0.800000, -3.737846
0.833333, -13.368770
0.866667, 0.596031
0.900000, -2.907905
0.933333, -0.420036
0.966667, -6.205244
1.000000, -4.140430
1.033333, -4.056127
1.066667, -20.478491
1.100000, -20.062087
1.133333, -4.420722
1.166667, -13.499654
1.200000, -11.332905
1.233333, -11.055714
1.266667, -13.317720
1.300000, -12.327322
1.333333, -11.708611
1.366667, -21.198582
1.400000, -15.107738
1.433333, -3.798224
1.466667, -9.775998
1.500000, -5.710661
1.533333, -4.779737
1.566667, -1.010946
1.600000, -19.469718
1.633333, -26.184038
1.666667, -10.046012
1.700000, -15.403541
1.733333, -18.676396
1.766667, -21.221974
1.800000, 2.704955
1.833333, -10.455829
1.866667, -6.127700
1.900000, -24.846918
1.933333, -9.215156
1.966667, -22.166235
2.000000, -23.139590
2.033333, -20.656370
2.066667, -20.526426
2.100000, -10.881109
2.133333, 2.518975
2.166667, -7.258009
2.200000, -2.571830
2.233333, -0.762793
2.266667, -10.432122
2.300000, -14.606046
2.333333, -10.527076
2.366667, -13.058965
2.400000, -2.269848
2.433333, -4.610723
2.466667, -10.129745
2.500000, 8.678303
2.533333, 2.282337
2.566667, -5.578257
2.600000, -20.114960
2.633333, -5.133510
2.666667, -0.674116
2.700000, -5.300505
2.733333, -14.353642
2.766667, 2.884609
2.800000, -2.011155
2.833333, 7.580326
2.866667, 0.583423
2.900000, 7.311399
2.933333, -3.348493
2.966667, -6.961042
3.000000, -0.255891
3.033333, -9.595200
3.066667, -7.628461
3.100000, -2.322768
3.133333, 0.757222
3.166667, -0.065892
3.200000, -5.080543
3.233333, 4.251971
3.266667, 1.176577
3.300000, 10.428557
3.333333, 1.403000
3.366667, -7.979764
3.400000, -9.141523
3.433333, -0.072663
3.466667, -0.631257
3.500000, -10.369486
3.533333, -1.223144
3.566667, 2.075306
3.600000, 2.410473
3.633333, -6.697209
3.666667, 1.880540
3.700000, -17.890646
3.733333, 2.218219
3.766667, 2.589751
3.800000, -5.245614
3.833333, -2.644623
3.866667, -13.834530
3.900000, -9.768533
3.933333, -7.517744
3.966667, -2.641187
4.000000, -1.216877
4.033333, -14.028813
4.066667, -2.186126
4.100000, -8.415425
4.133333, 0.529440
4.166667, -1.850289
4.200000, 0.802941
4.233333, -11.798556
4.266667, -3.636588
4.300000, 1.180666
4.333333, 8.080222
4.366667, 8.543960
4.400000, -8.631239
4.433333, -0.844172
4.466667, -1.062021
4.500000, 0.125643
4.533333, -3.903815
4.566667, -16.113233
4.600000, 10.221177
4.633333, -9.681249
4.666667, -8.108326
4.700000, -3.077660
4.733333, -1.028753
4.766667, 3.835384
4.800000, 2.928866
4.833333, -4.614706
4.866667, -8.555992
4.900000, -6.861125
4.933333, 2.179806
4.966667, -4.235825
5.000000, 5.570629
5.033333, 10.152189
5.066667, -21.275215
5.100000, -2.742267
5.133333, -11.684457
