Timestamp (s), Slip Angle (deg)
0.000000, 0.000000
0.033272, 0.000000
0.066545, 0.000000
0.099817, 0.000000
0.133090, 0.000000
0.166362, 0.000000
0.199634, 0.000000
0.232907, 0.000000
0.266179, 0.000000
0.299452, 0.000000
0.332724, 0.000000
0.365996, 0.000000
0.399269, 0.000000
0.432541, 0.000000
0.465814, 0.000000
0.499086, 0.000000
0.532358, 0.000000
0.565631, 0.000000
0.598903, 0.000000
0.632176, 0.000000
0.665448, 0.000000
0.698720, 0.000000
0.731993, 0.000000
0.765265, 0.000000
0.798538, 0.000000
0.831810, 0.000000
0.865082, 0.000000
0.898355, 0.000000
0.931627, 0.000000
0.964900, 0.000000
0.998172, 0.000000
1.031444, 0.000000
1.064717, 0.000000
1.097989, 0.000000
1.131262, 0.000000
1.164534, 0.000000
1.197806, 0.000000
1.231079, 0.000000
1.264351, 0.000000
1.297624, 0.000000
1.330896, 0.000000
1.364168, 0.000000
1.397441, 0.000000
1.430713, 0.000000
1.463986, 0.000000
1.497258, 0.000000
1.530530, 0.000000
1.563803, 0.000000
1.597075, 0.000000
1.630348, 0.000000
1.663620, 0.000000
1.696892, 0.000000
1.730165, 0.000000
1.763437, 0.000000
1.796710, 0.000000
1.829982, 0.000000
1.863254, 0.000000
1.896527, 0.000000
1.929799, 0.000000
1.963072, 0.000000
1.996344, 0.000000
2.029616, 0.000000
2.062889, 0.000000
2.096161, 0.000000
2.129434, 0.000000
2.162706, 0.000000
2.195978, 0.000000
2.229251, 0.000000
2.262523, 0.000000
2.295796, 0.000000
2.329068, 0.000000
2.362340, 0.000000
2.395613, 0.000000
2.428885, 0.000000
2.462158, 0.000000
2.495430, 0.000000
2.528702, 0.000000
2.561975, 0.000000
2.595247, 0.000000
2.628520, 0.000000
2.661792, 0.000000
2.695064, 0.000000
2.728337, 0.000000
2.761609, 0.000000
2.794882, 0.000000
2.828154, 0.000000
2.861426, 0.000000
2.894699, 0.000000
2.927971, 0.000000
2.961244, 0.000000
2.994516, 0.000000
3.027788, 0.000000
3.061061, 0.000000
3.094333, 0.000000
3.127606, 0.000000
3.160878, 0.000000
3.194150, 0.000000
3.227423, 0.000000
3.260695, 0.000000
3.293968, 0.000000
3.327240, 0.000000
3.360512, 0.000000
3.393785, 0.000000
3.427057, 0.000000
3.460330, 0.000000
3.493602, 0.000000
3.526874, 0.000000
3.560147, 0.000000
3.593419, 0.000000
3.626692, 0.000000
3.659964, 0.000000
3.693236, 0.000000
3.726509, 0.000000
3.759781, 0.000000
3.793054, 0.000000
3.826326, 0.000000
3.859598, 0.000000
3.892871, 0.000000
3.926143, 0.000000
